name,category,size,era,desc,url,imageUrl_s,id,sk1,sk2,sk3
印尼 帽子,銅器,37x47 徑32,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77078?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=658592&randomCode=387891083&maxW=200&maxH=200,南購銅000002,南購,銅,銅器
馬來西亞 達雅族胸衣,銅器,28.8x14 徑26,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77077?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1291051&randomCode=938985889&maxW=200&maxH=200,南購銅000003,南購,銅,銅器
土耳其 飾品,銅器,10.1x14.4 高0.1,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77076?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1291062&randomCode=1971660650&maxW=200&maxH=200,南購銅000004,南購,銅,銅器
菲律賓 儀式佩飾,銅器,83x16.5 高4,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77075?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=900587&randomCode=1629278510&maxW=200&maxH=200,南購銅000005,南購,銅,銅器
菲律賓 儀式佩飾,銅器,20x20  高2.5,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77074?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=900590&randomCode=289676274&maxW=200&maxH=200,南購銅000006,南購,銅,銅器
菲律賓 儀式佩飾,銅器,17x16 高2,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77073?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=900592&randomCode=917544977&maxW=200&maxH=200,南購銅000007,南購,銅,銅器
菲律賓 儀式佩飾,銅器,徑11.7 高1.5,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77072?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=900594&randomCode=1641729671&maxW=200&maxH=200,南購銅000008,南購,銅,銅器
菲律賓 儀式佩飾,銅器,徑11.5 高1.5,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77071?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=900600&randomCode=2135760787&maxW=200&maxH=200,南購銅000009,南購,銅,銅器
菲律賓 儀式佩飾,銅器,徑11.5 高1.5,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77070?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=900603&randomCode=1252836184&maxW=200&maxH=200,南購銅000010,南購,銅,銅器
菲律賓 儀式佩飾,銅器,徑11.5 高2,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77069?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=900608&randomCode=1993101562&maxW=200&maxH=200,南購銅000011,南購,銅,銅器
菲律賓 儀式佩刀,銅器,45.5x5.5 高1 34x9.5 高2,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77068?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=900611&randomCode=16808985&maxW=200&maxH=200,南購銅000012,南購,銅,銅器
煎茶器組 日本 大正時代 梅圖圓錫茶托「孤山清趣」,銅器,直徑9.6公分 高1.8公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77067?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1281040&randomCode=1830732130&maxW=200&maxH=200,南購銅000033,南購,銅,銅器
煎茶器組 日本 大正時代 蘭圖圓錫茶托「蘭有國香」,銅器,直徑9.6公分 高1.8公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77066?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1281048&randomCode=252322791&maxW=200&maxH=200,南購銅000034,南購,銅,銅器
煎茶器組 日本 大正時代 竹圖圓錫茶托「嫡秀幽獨」,銅器,直徑9.6公分 高1.8公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77065?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1281052&randomCode=1104816731&maxW=200&maxH=200,南購銅000035,南購,銅,銅器
煎茶器組 日本 大正時代 菊圖圓錫茶托「晩節幽香」,銅器,直徑9.6公分 高1.8公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77064?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1281056&randomCode=2055525480&maxW=200&maxH=200,南購銅000036,南購,銅,銅器
煎茶器組 日本 大正時代 霊芝圖圓錫茶托「三秀九莖」,銅器,直徑9.6公分 高1.8公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77063?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1281060&randomCode=1142338327&maxW=200&maxH=200,南購銅000037,南購,銅,銅器
東南亞或中國 十五至十六世紀 響銅水盂,銅器,縱8.5公分 徑13.8公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/76976?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1279623&randomCode=1739776367&maxW=200&maxH=200,南購銅000032,南購,銅,銅器
日本 江戶時代 三足銅風爐,銅器,縱37公分 徑29.1公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/76975?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1279619&randomCode=671478828&maxW=200&maxH=200,南購銅000031,南購,銅,銅器
日本 乳丁紋真形鐵茶釜,銅器,縱37公分 徑29.0公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/76974?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1279612&randomCode=2116218693&maxW=200&maxH=200,南購銅000030,南購,銅,銅器
日本 19世紀 銀茶葉罐 「淨益造」款,銅器,高6公分 徑4公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/76973?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=933218&randomCode=1461548850&maxW=200&maxH=200,南購銅000026,南購,銅,銅器
