name,category,size,era,desc,url,imageUrl_s,id,sk1,sk2,sk3
掐絲琺瑯黑地執壺,琺瑯器,高29 寬19.5 側寬15.5,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77125?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1285420&randomCode=673209533&maxW=200&maxH=200,南購琺000002,南購,琺,琺瑯器
掐絲琺瑯黑地執壺,琺瑯器,高28.5 寬20.5 側寬16,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77124?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1285432&randomCode=785606208&maxW=200&maxH=200,南購琺000003,南購,琺,琺瑯器
掐絲琺瑯香爐,琺瑯器,直徑35公分 高50公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77123?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1284855&randomCode=321837642&maxW=200&maxH=200,南購琺000010,南購,琺,琺瑯器
掐絲琺瑯香爐,琺瑯器,直徑35公分 高50公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77122?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1284833&randomCode=1054843974&maxW=200&maxH=200,南購琺000009,南購,琺,琺瑯器
掐絲琺瑯五供之一 燭臺,琺瑯器,寬16公分 厚16公分 高66公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77121?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1291002&randomCode=700010673&maxW=200&maxH=200,南購琺000008,南購,琺,琺瑯器
掐絲琺瑯五供之一 燭臺,琺瑯器,寬16公分 厚16公分 高66公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77120?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1290986&randomCode=250423973&maxW=200&maxH=200,南購琺000007,南購,琺,琺瑯器
掐絲琺瑯五供之一 花觚,琺瑯器,長14公分 寬14公分 高57公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77119?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1290977&randomCode=355729715&maxW=200&maxH=200,南購琺000006,南購,琺,琺瑯器
掐絲琺瑯五供之一 花觚,琺瑯器,長14公分 寬14公分 高50公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77118?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1290963&randomCode=1657810355&maxW=200&maxH=200,南購琺000005,南購,琺,琺瑯器
掐絲琺瑯五供之一 爐,琺瑯器,長35公分 寬20.5公分 高50公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77117?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1290935&randomCode=901464293&maxW=200&maxH=200,南購琺000004,南購,琺,琺瑯器
掐絲琺瑯大香爐,琺瑯器,高140公分 直徑92公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77106?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=2638761&randomCode=1504430674&maxW=200&maxH=200,南購琺000001,南購,琺,琺瑯器
