name,category,size,era,desc,url,imageUrl_s,id,sk1,sk2,sk3
雙鳳長方硯之木座,文具,,,,https://digitalarchive.npm.gov.tw/Collection/Detail/74731?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=0&randomCode=0&maxW=200&maxH=200,故文001553,故,文,文具
幽谷雲開硯,文具,長29.6公分 寬 28.5公分 高6.0公分；木蓋長39.2公分、寬38.7公分；木座長28.7公分 寬28.5公分,時代待訂,,https://digitalarchive.npm.gov.tw/Collection/Detail/71957?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1245090&randomCode=189898873&maxW=200&maxH=200,中日文000003,中日,文,文具
端石風字硯,文具,長寬14.7x 14.4公分、厚2公分；硯盒長16.5公分、寬16.5公分、高4公分；錦袋寬16.5公分、寬18公分、厚5公分；外盒長48.6公分、寬28.2公分、高15.2公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/71956?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1245086&randomCode=2046535729&maxW=200&maxH=200,中日文000002,中日,文,文具
端石風字硯,文具,長寬14.6x 14.3公分、厚1.9公分；錦袋長18寬公分、17.5公分、厚4公分；硯盒長16.7、寬16.4、高4公分；外盒長48.6公分、寬28.2公分、高15.2公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/71955?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1245080&randomCode=1363502154&maxW=200&maxH=200,中日文000001,中日,文,文具
紫石長方硯,文具,長8.0公分 寬5.5公分,清,長方形硯，弧角，深褐色ㄇ形池，池下方中央淺浮雕龍紋為飾，其餘光素無紋，亦無刻任何款識銘記。根據黃籤知其曾被命名為「紫石硯」，今裝盛於一長方木盒中。,https://digitalarchive.npm.gov.tw/Collection/Detail/55160?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=337014&randomCode=38721258501&maxW=200&maxH=200,故文001664,故,文,文具
石硯,文具,長26.0公分,清,,https://digitalarchive.npm.gov.tw/Collection/Detail/55159?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=461857&randomCode=469857095&maxW=200&maxH=200,故文001663,故,文,文具
「海清河晏」竹管筆,文具,長21.0公分,清,毛筆，筆管、筆蓋均為竹質，筆管自首至尾寬度皆同，其上並刻有「海清河晏」楷字，筆毛似以較軟之白色羊毫內覆健毫，筆性應較接近兼毫。另筆尖有些許紅色，應是使用痕跡。,https://digitalarchive.npm.gov.tw/Collection/Detail/55158?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=337010&randomCode=13060911502&maxW=200&maxH=200,故文001662,故,文,文具
「海清河晏」竹管筆,文具,長21.0公分,清,毛筆，筆管、筆蓋均為竹質，筆管自首至尾寬度皆同，其上並刻有「海清河晏」楷字，筆毛似以較軟之白色羊毫內覆健毫，筆性應較接近兼毫。,https://digitalarchive.npm.gov.tw/Collection/Detail/55157?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=337007&randomCode=21352342658&maxW=200&maxH=200,故文001661,故,文,文具
小紫穎竹管筆,文具,長21.0公分,清,狼毫筆。竹筆管，上刻楷字填藍︰「小紫穎」三字。「小紫穎」是浙江吳興地區產製的一種湖筆，清代常用來進獻給宮廷。根據《西清筆記》的記載：「浙省供御之筆有名小紫穎者，上所常用；中疏易散，第用其峰，書少時輒易之，乃可。」可具體描述這種毛筆的特色。,https://digitalarchive.npm.gov.tw/Collection/Detail/55156?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=337004&randomCode=62938364101&maxW=200&maxH=200,故文001660,故,文,文具
小紫穎竹管筆,文具,長18.0公分,清,狼毫筆。竹筆管，上刻楷字填藍︰「小紫穎」三字。「小紫穎」是浙江吳興地區產製的一種湖筆，清代時為貢筆的種類之一。根據《西清筆記》的記載：「浙省供御之筆有名小紫穎者，上所常用；中疏易散，第用其峰，書少時輒易之，乃可。」可具體描述這種毛筆的特色。,https://digitalarchive.npm.gov.tw/Collection/Detail/55155?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=337001&randomCode=17440044775&maxW=200&maxH=200,故文001659,故,文,文具
墨,文具,長3.2公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/55154?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=336999&randomCode=1975290173&maxW=200&maxH=200,故文001658,故,文,文具
硃墨,文具,長3.2公分,清,長方形硃墨，其上已不見紋飾，或其花紋已剝落磨損殆盡。,https://digitalarchive.npm.gov.tw/Collection/Detail/55153?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=336983&randomCode=47960544029&maxW=200&maxH=200,故文001657,故,文,文具
圓硯,文具,高1.5公分 徑12.8公分；盒徑13.7公分 厚3.3公分,時代待訂,,https://digitalarchive.npm.gov.tw/Collection/Detail/55152?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=429020&randomCode=266504657&maxW=200&maxH=200,故文001626,故,文,文具
硃墨,文具,長2.8公分,清,紅色硃墨，扁圓柱狀，無飾，外以布套包裹，可方便持拿。為故玉6113玉墨床附件。,https://digitalarchive.npm.gov.tw/Collection/Detail/55151?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=336979&randomCode=81458610861&maxW=200&maxH=200,故文001559,故,文,文具
銅胎畫琺瑯四季花卉水盂,文具,高3.35公分 口徑3.25公分 腹徑長5.9公分 寬4.8公分,清 乾隆,銅胎，橢圓形，唇口，圓腹，圈足。以畫琺瑯為飾，黃地，口沿繪一圈藍色如意雲紋，腹部繪五彩纏枝四季花卉紋。底為白地，有藍書「乾隆年製」四字雙行明體雙方款。足底露胎鍍金。,https://digitalarchive.npm.gov.tw/Collection/Detail/55150?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=336975&randomCode=50438330377&maxW=200&maxH=200,故文001558,故,文,文具
豆綠端硯,文具,長7.7公分 寬5.7公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/55149?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1158384&randomCode=134565888&maxW=200&maxH=200,故文001556,故,文,文具
雙鳳長方硯,文具,長8.4公分 寬5.0公分 高1.2公分；木座長8.2公分 寬5.4公分 高0.6公分；連座高1.5公分,清,,https://digitalarchive.npm.gov.tw/Collection/Detail/55148?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=281962&randomCode=2128669854&maxW=200&maxH=200,故文001553,故,文,文具
「歸昌叶瑞」御墨,文具,長11.2公分 寬4.0公分,清 乾隆,,https://digitalarchive.npm.gov.tw/Collection/Detail/55147?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1081468&randomCode=345009259&maxW=200&maxH=200,故文001552,故,文,文具
「玉質金相」御墨,文具,長9.5公分,清 乾隆,長條形圓柱墨，表面灑金為飾，面上模印楷字「大清乾隆年製」、填綠彩隸字「敬勝齋珍藏」款識，並模鈐「玉質」、「金相」二印。,https://digitalarchive.npm.gov.tw/Collection/Detail/55146?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1081465&randomCode=1697062656&maxW=200&maxH=200,故文001551,故,文,文具
「玉質金相」御墨,文具,長9.6公分 徑1.2公分,清 乾隆,,https://digitalarchive.npm.gov.tw/Collection/Detail/55145?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1081462&randomCode=1513252312&maxW=200&maxH=200,故文000195,故,文,文具
「玉璏」御墨,文具,長9.5公分 寬2.5公分 高1.1公分,清 乾隆,,https://digitalarchive.npm.gov.tw/Collection/Detail/55144?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1081459&randomCode=808777825&maxW=200&maxH=200,故文000194,故,文,文具
「歸昌叶瑞」御墨,文具,長11.0公分 寬4.0公分 厚1.4公分,清 乾隆,,https://digitalarchive.npm.gov.tw/Collection/Detail/55143?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1081455&randomCode=56061286&maxW=200&maxH=200,故文000193,故,文,文具
「赤壁圖」御墨,文具,長8.6公分 寬2.1公分 厚1.0公分,清 乾隆,,https://digitalarchive.npm.gov.tw/Collection/Detail/55142?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1080170&randomCode=1700524066&maxW=200&maxH=200,故文000192,故,文,文具
「赤壁圖」御墨,文具,長8.8公分 寬2.2公分 厚1.0公分,清 乾隆,,https://digitalarchive.npm.gov.tw/Collection/Detail/55141?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1080166&randomCode=337918326&maxW=200&maxH=200,故文000191,故,文,文具
「歸昌叶瑞」御墨,文具,長11.0公分 寬3.9公分 厚1.4公分,清 乾隆,,https://digitalarchive.npm.gov.tw/Collection/Detail/55140?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1080161&randomCode=380632037&maxW=200&maxH=200,故文000190,故,文,文具
「內殿輕煤」御墨,文具,長8.2公分 寬2.3公分 厚0.8公分,清 乾隆,,https://digitalarchive.npm.gov.tw/Collection/Detail/55139?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1080158&randomCode=1969929945&maxW=200&maxH=200,故文000189,故,文,文具
「內殿輕煤」御墨,文具,長8.3公分 寬2.3公分 厚0.8公分,清  乾隆,,https://digitalarchive.npm.gov.tw/Collection/Detail/55138?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1080155&randomCode=1383044248&maxW=200&maxH=200,故文000188,故,文,文具
