name,category,size,era,desc,url,imageUrl_s,id,sk1,sk2,sk3
菲律賓 頭巾,織品,縱98.5公分 橫89.5公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1677?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1817681&randomCode=589344703&maxW=200&maxH=200,南購織001220,南購,織,織品
菲律賓 頭巾,織品,縱89公分 橫85.5公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1676?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=660293&randomCode=1966300422&maxW=200&maxH=200,南購織001219,南購,織,織品
菲律賓 頭巾,織品,縱91公分 橫90公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1675?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=660290&randomCode=1008500740&maxW=200&maxH=200,南購織001218,南購,織,織品
敘利亞 披風,織品,縱130公分 橫144公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1674?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1803028&randomCode=405702472&maxW=200&maxH=200,南購織001242,南購,織,織品
菲律賓 毯子,織品,縱171公分 橫212公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1673?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1802054&randomCode=188000055&maxW=200&maxH=200,南購織001230,南購,織,織品
菲律賓 毯子,織品,縱127公分 橫208公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1672?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1304703&randomCode=2087686848&maxW=200&maxH=200,南購織001229,南購,織,織品
菲律賓 毯子,織品,縱130公分 橫216公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1671?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1303098&randomCode=2010912951&maxW=200&maxH=200,南購織001228,南購,織,織品
菲律賓 穿著用毯,織品,縱160公分 橫202公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1670?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1787388&randomCode=1909236732&maxW=200&maxH=200,南購織001235,南購,織,織品
土耳其 織錦外套,織品,縱158公分 橫146公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1669?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1803017&randomCode=136296593&maxW=200&maxH=200,南購織001153,南購,織,織品
土耳其 毛巾,織品,縱41公分 橫151公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1668?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=992701&randomCode=1083375819&maxW=200&maxH=200,南購織001146,南購,織,織品
