name,category,size,era,desc,url,imageUrl_s,id,sk1,sk2,sk3
"木雕男性頭飾, 19-20世紀",雕刻,長21公分 寬20公分 高15公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77062?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=658556&randomCode=1151159965&maxW=200&maxH=200,南購雕000001,南購,雕,雕刻
"木雕女性頭飾, 印尼 西蘇門答臘 (米南佳保人)",雕刻,長31.5公分 寬21公分 高11公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77061?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=658563&randomCode=532281013&maxW=200&maxH=200,南購雕000002,南購,雕,雕刻
印度 頭飾,雕刻,長57公分 寬76公分 高11公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77060?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1853212&randomCode=380632037&maxW=200&maxH=200,南購雕000003,南購,雕,雕刻
印度 木鞋,雕刻,,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77059?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=659043&randomCode=853390354&maxW=200&maxH=200,南購雕000004,南購,雕,雕刻
印度 木鞋,雕刻,長19公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77058?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=659047&randomCode=373541104&maxW=200&maxH=200,南購雕000005,南購,雕,雕刻
日本 木屐,雕刻,長22公分 寬10公分 高6公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77057?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=659051&randomCode=1413474911&maxW=200&maxH=200,南購雕000006,南購,雕,雕刻
日本 竹茶杓,雕刻,筒長20.5公分 徑2.0公分 杓長18.2公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77056?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1852363&randomCode=1472269306&maxW=200&maxH=200,南購雕000013,南購,雕,雕刻
日本 江戶時代 竹茶杓,雕刻,筒長21.5公分 徑2.0公分  杓長18.1公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77055?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1284007&randomCode=1297448713&maxW=200&maxH=200,南購雕000014,南購,雕,雕刻
漆盒茶器組 日本 象牙茶杓,雕刻,長15,,,https://digitalarchive.npm.gov.tw/Collection/Detail/76906?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1284162&randomCode=864110810&maxW=200&maxH=200,南購雕000015,南購,雕,雕刻
日本 明治時代 竹刻茶葉罐,雕刻,高8.8公分 口徑5.0公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/76881?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=933235&randomCode=1513252312&maxW=200&maxH=200,南購雕000011,南購,雕,雕刻
日本 明治時代 煎茶提籃茶器組 竹雕茶則,雕刻,長4.5公分 寬11.5公分 高:0.7公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/76879?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=659570&randomCode=1090634865&maxW=200&maxH=200,南購雕000007,南購,雕,雕刻
