name,category,size,era,desc,url,imageUrl_s,id,sk1,sk2,sk3
剔黑花鳥紋盤,漆器,,,,https://digitalarchive.npm.gov.tw/Collection/Detail/78303?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1302235&randomCode=130936365&maxW=200&maxH=200,購漆000011,購,漆,漆器
朱色橢圓大漆盤,漆器,,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77105?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=665344&randomCode=350369487&maxW=200&maxH=200,南贈漆000002,南贈,漆,漆器
黑漆戧金雲鳳紋盞托,漆器,直徑16公分 高10公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77097?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=658546&randomCode=1286728257&maxW=200&maxH=200,南購漆000013,南購,漆,漆器
鏤鈿古董櫃,漆器,長102 寬41 高178,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77096?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=2638854&randomCode=865841515&maxW=200&maxH=200,南購漆000010,南購,漆,漆器
鏤鈿古董櫃,漆器,長102 寬41 高178,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77095?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=2638848&randomCode=521560557&maxW=200&maxH=200,南購漆000009,南購,漆,漆器
鏤鈿細雕雙喜紋古董櫃,漆器,長50 寬107 高207,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77094?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=2638791&randomCode=259413724&maxW=200&maxH=200,南購漆000008,南購,漆,漆器
鏤鈿古床,漆器,長193 寬121 高255,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77093?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=2638782&randomCode=1919957188&maxW=200&maxH=200,南購漆000007,南購,漆,漆器
土耳其 鑲嵌木鞋,漆器,長23.5公分 寬10公分 高14.5公分；長24公分 寬10.7公分 高14公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77091?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=659074&randomCode=960426801&maxW=200&maxH=200,南購漆000005,南購,漆,漆器
土耳其 鑲嵌木鞋,漆器,長21.2 寬10公分 高10公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77090?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=659069&randomCode=2037714091&maxW=200&maxH=200,南購漆000004,南購,漆,漆器
土耳其 鑲嵌木鞋,漆器,長25.8 寬9公分 高9公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77089?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=659064&randomCode=765896001&maxW=200&maxH=200,南購漆000003,南購,漆,漆器
土耳其 鑲嵌木鞋,漆器,長25 寬12公分 高8.5公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77088?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=659055&randomCode=277225113&maxW=200&maxH=200,南購漆000001,南購,漆,漆器
宋至元 剔犀紅漆圓盤,漆器,口徑20.3 足徑10.1 高2.8,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77087?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1851165&randomCode=2010912951&maxW=200&maxH=200,南購漆000014,南購,漆,漆器
宋至元 剔犀紅漆圓盤,漆器,口徑18 足徑13.3 高2.1,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77086?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1853259&randomCode=1666631993&maxW=200&maxH=200,南購漆000015,南購,漆,漆器
宋至金 黑漆小碟,漆器,口徑12.4 足徑6.1 高2.4 底徑8.2,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77085?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1851195&randomCode=1015591673&maxW=200&maxH=200,南購漆000020,南購,漆,漆器
