name,category,size,era,desc,url,imageUrl_s,id,sk1,sk2,sk3
蟻鼻錢,錢幣,長1.6公分、寬1.1公分、厚0.4公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/72298?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1262496&randomCode=605425387&maxW=200&maxH=200,中日錢000007,中日,錢,錢幣
五銖錢,錢幣,徑2.4公分,漢,,https://digitalarchive.npm.gov.tw/Collection/Detail/72297?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1262620&randomCode=2107228942&maxW=200&maxH=200,中日錢000006,中日,錢,錢幣
五銖錢,錢幣,徑2.3公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/72296?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1262493&randomCode=1709513817&maxW=200&maxH=200,中日錢000005,中日,錢,錢幣
五銖錢,錢幣,徑2.6公分、高2.5公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/72117?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1249289&randomCode=573264019&maxW=200&maxH=200,中日錢000004,中日,錢,錢幣
石槨五銖錢,錢幣,徑2.6公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/72112?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1249286&randomCode=1663170583&maxW=200&maxH=200,中日錢000003,中日,錢,錢幣
石槨五銖錢,錢幣,徑約2.6公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/72111?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1249283&randomCode=277225113&maxW=200&maxH=200,中日錢000002,中日,錢,錢幣
五銖錢,錢幣,外徑2.6公分,漢,,https://digitalarchive.npm.gov.tw/Collection/Detail/72110?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1249280&randomCode=89953359&maxW=200&maxH=200,中日錢000001,中日,錢,錢幣
銅錢,錢幣,,時代待訂,銅製錢幣，器身扁平，邊緣不甚規則。外周緣為圓形，中央帶一方形穿孔。銅錢一面由右而左印鑄「半兩」字樣，另一面平素無紋。,https://digitalarchive.npm.gov.tw/Collection/Detail/43757?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=605588&randomCode=40327589840&maxW=200&maxH=200,中錢000001,中,錢,錢幣
寬永通寶,錢幣,待測量,日本 江戶時代,銅質。方孔圓錢，正面有楷書：「寬永通寶」四字，背面無文。,https://digitalarchive.npm.gov.tw/Collection/Detail/14794?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=102210&randomCode=46326799233&maxW=200&maxH=200,購錢005456,購,錢,錢幣
寬永通寶,錢幣,待測量,日本 江戶時代,銅質。方孔圓錢，正面有楷書：「寬永通寶」四字，背面無文。,https://digitalarchive.npm.gov.tw/Collection/Detail/14793?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=102207&randomCode=55538841558&maxW=200&maxH=200,購錢005455,購,錢,錢幣
寬永通寶,錢幣,待測量,日本 江戶時代,銅質。方孔圓錢，正面有楷書：「寬永通寶」四字，背面無文。,https://digitalarchive.npm.gov.tw/Collection/Detail/14792?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=102204&randomCode=21289454853&maxW=200&maxH=200,購錢005454,購,錢,錢幣
寬永通寶,錢幣,待測量,日本 江戶時代,銅質。方孔圓錢，正面有楷書：「寬永通寶」四字，背面無文。,https://digitalarchive.npm.gov.tw/Collection/Detail/14791?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=102201&randomCode=75785865309&maxW=200&maxH=200,購錢005453,購,錢,錢幣
寬永通寶,錢幣,待測量,日本 江戶時代,銅質。方孔圓錢，正面有楷書：「寬永通寶」四字，背面無文。,https://digitalarchive.npm.gov.tw/Collection/Detail/14790?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=102198&randomCode=23829977945&maxW=200&maxH=200,購錢005452,購,錢,錢幣
寬永通寶,錢幣,待測量,日本 江戶時代,銅質。方孔圓錢，正面有楷書：「寬永通寶」四字，背面無文。,https://digitalarchive.npm.gov.tw/Collection/Detail/14789?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=102195&randomCode=62916029462&maxW=200&maxH=200,購錢005451,購,錢,錢幣
寬永通寶,錢幣,待測量,日本 江戶時代,銅質。方孔圓錢，正面有楷書：「寬永通寶」四字，背面無文。,https://digitalarchive.npm.gov.tw/Collection/Detail/14788?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=102192&randomCode=16420212675&maxW=200&maxH=200,購錢005450,購,錢,錢幣
銅錢,錢幣,待測量,時代待訂,,https://digitalarchive.npm.gov.tw/Collection/Detail/14787?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=102189&randomCode=96277463553&maxW=200&maxH=200,購錢005449,購,錢,錢幣
