name,category,size,era,desc,url,imageUrl_s,id,sk1,sk2,sk3
篆書天保 卷,法書,寬11.7公分,清 嘉慶,本件為趙秉沖（1757-1814）篆書手卷，內容為《詩經･小雅》〈天保〉毛詩序和詩六章，主旨為臣子祝頌君主和上天。引首有嘉慶皇帝楷書「可與言詩」，和「嘉慶御筆」白文方印。卷末楷書「臣趙秉沖敬書」，和「臣趙秉沖」、「敬書」朱文方印。趙秉沖，字謙士，號研懷。乾隆四十七年（1782）欽賜舉人，官戶部右侍郎，書工各體，擅畫四君子。此卷存放在院藏「雕紫檀蟠龍方盒百什件」（故雜877）中。,https://digitalarchive.npm.gov.tw/Collection/Detail/71747?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=282213&randomCode=40137548071&maxW=200&maxH=200,故書001037,故,書,法書
御書節錄歲華備考 冊,法書,長8.8公分 寬6.1公分 厚1.3公分,清 嘉慶四年,本件為嘉慶皇帝楷書冊頁，癭木封板題識「御書節錄歲華備考」，內容節錄《歲華備考》，卷末有「嘉慶己未（嘉慶四年，1799）冬至前五日摘錄歲華備考於明窗用消幾暇御誌」。鈐印二：朱文「比德」、白文「朗潤」。嘉慶皇帝承襲乾隆皇帝，持續對於百什件之裝配整理。此冊頁存放在院藏「雕紫檀蟠龍方盒百什件」（故雜877）中。,https://digitalarchive.npm.gov.tw/Collection/Detail/71746?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=282205&randomCode=89854723119&maxW=200&maxH=200,故書001036,故,書,法書
御筆宣和宮詞 冊,法書,長9.5公分 寬8.4公分 厚0.3公分,清 嘉慶五年,本件為嘉慶皇帝楷書冊頁，封面墨書題籤書「御書宣和宮詞」，封面及封底為卍字紋錦，內容為宣和宮詞一首，卷末有「庚申（嘉慶五年，1800）仲春中澣敬勝齋御筆」，鈐印二：朱文「嘉」、白文「慶」。嘉慶皇帝承襲乾隆皇帝，持續對於百什件之裝配整理。此冊頁存放在院藏「雕紫檀蟠龍方盒百什件」（故雜877）,https://digitalarchive.npm.gov.tw/Collection/Detail/71743?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=282200&randomCode=68813953061&maxW=200&maxH=200,故書001035,故,書,法書
清仁宗御書濡豪摘韻 冊,法書,長13.0公分 寬10.7公分,清 嘉慶六年,,https://digitalarchive.npm.gov.tw/Collection/Detail/71699?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=318071&randomCode=25798736&maxW=200&maxH=200,故書001089,故,書,法書
般若波羅蜜多心經 冊,法書,長7.2公分 寬4.3公分,清 乾隆,,https://digitalarchive.npm.gov.tw/Collection/Detail/71692?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=339823&randomCode=1042392813&maxW=200&maxH=200,故書001088,故,書,法書
〈集成契賞〉印譜,法書,長12.0公分 寬6.9公分,清 乾隆,紙本冊頁，梵夾式，三開，木質封面有「集成契賞」填金隸款。此冊頁為乾隆皇帝所收六方玉印的目錄，內第一開為所收印記的鈐跡、釋文，第二開為設色折枝菊花，第三開為關於此收藏的題記。根據最後一開的題記，可知這六方印記中，有四方私印可於史傳中檢得其姓氏，其他兩方「永昌」、「天祿永昌」，則是因為祥瑞寓意才被收入。乾隆皇帝另有較大規模古代印記收藏，如收有八十方玉印的「虹文薈古」，其收藏內容也主要由這兩項類別組成。由此可知此「集成契賞」規模雖小，但亦能與其他古代印記收藏相對照，而理解整個乾隆朝印記的收藏脈絡。,https://digitalarchive.npm.gov.tw/Collection/Detail/60927?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=95598&randomCode=1859263975&maxW=200&maxH=200,故書001139,故,書,法書
清高宗御臨王獻之書洛神賦十三行并圖 冊,法書,高23.0公分 厚2.0公分 一頁寬11.0公分,清 乾隆,紙本冊頁，梵夾式，木質封面隸刻「御臨王獻之洛神賦十三行并圖」，引首御題「大令風流」，臨帖并櫽括虎頭（顧愷之）圖意三開，二開有梁詩正等大臣題跋，三開空白，共計八開。王獻之（344-386），東晉人，精通楷、行、草、隸各體，與其父王羲之並稱為「二王」。《洛神賦》為三國魏曹植所作名篇，王獻之以小楷書《洛神賦》傳至宋代僅餘中間十三行，真跡已不復存在，故一般又通稱《洛神賦十三行》。「櫽括」本指對原有作品的内容加以剪輯修改而成新篇，在此借顧愷之所繪《洛神賦圖》以合帖。,https://digitalarchive.npm.gov.tw/Collection/Detail/60926?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=600369&randomCode=1381313543&maxW=200&maxH=200,故書001137,故,書,法書
御製隨安室銘 冊,法書,長3.8公分 寬4.2公分,清 乾隆,紙本冊頁，前後以木質裝幀，木質封面上有「御製隨安室銘」填金隸字題銘。內容為戴衢亨（1755-1811）以楷書抄寫清高宗的隨安室銘：「御製隨安室銘  天何言哉，斡旋四時，聖人無為，日理萬機，五星七政，默運潛移，百寮庶尹，各凜所司，眾志既合，孔修綱維，有猷有守，無隱無欺，素位定志，義取諸隨，因物付物，心安則施，返觀洞照，咸得其宜，室建仙館，皇父題楣，擘窠三字，龍蟠鳳儀，敬瞻堂構，虔凜丕基，勉隨繼述，思安慮危，傳心訓政，蹈矩循規，苞茂永慶，深沐恩慈，銘中戴德，念茲在茲。   臣戴衢亨敬書」，書風工整秀麗，冊末並有戴衢亨自識款印「臣、衢」。本冊頁儲於剔紅梅花圓盒（故漆545）中。,https://digitalarchive.npm.gov.tw/Collection/Detail/60925?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=351713&randomCode=14355139297&maxW=200&maxH=200,故書001136,故,書,法書
御製虛受箴 冊,法書,長4.2公分 寬3.8公分,清 乾隆,紙本冊頁，前後以木質裝幀，木質封面上有「御製虛受箴」填金隸字題銘。內容為戴衢亨（1755-1811）以楷書抄寫清高宗的虛受箴：「御製虛受箴  君臨萬方，大業荷負，毓德有容，集虛能受，載物坤元，納汙含垢，海蓄百川，與天同久，淵衷若谷，大智不矜，內省洞達，豈存愛憎，眾善畢至，採擇伏膺，轉圜納諫，常若勿勝，守中不盈，信之毋惑，怡然保真，寸田培植，樂聞忠言，朝多正直，自滿必傾，賢路否塞，愛諛拒諫，禍患日深，中和達道，養正養心，化育黎庶，暢觀古今，慎修思永，操存自箴。   臣戴衢亨敬書」，書風工整秀麗，冊末並有戴衢亨自識款印「臣、衢」。本冊頁儲於剔紅梅花圓盒（故漆544）中。,https://digitalarchive.npm.gov.tw/Collection/Detail/60924?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=351706&randomCode=82929337047&maxW=200&maxH=200,故書001135,故,書,法書
御製養心殿銘 冊,法書,長3.8公分 寬4.2公分,清 乾隆,紙本冊頁，前後以木質裝幀，木質封面上有「御製養心殿銘」填金隸字題銘。內容為戴衢亨（1755-1811）以楷書抄寫清高宗的養心殿銘：「御製養心殿銘 心應庶事，涵養道鴻，人君奉若，敬體昊穹，紫禁西壁，式瞻法宮，養心題額，外治內充，我祖我考，居此始終，小子繼緒，凜懼持躬，曷敢遷座，別創棟隆，於斯歡戚，孫曾永同，四壁宸翰，照臨在空，翼翼惴惴，福佑誠通，聿瞻堂構，樸儉是崇，紬繹庭訓，心會性融。   臣戴衢亨敬書」，書風工整秀麗，冊末並有戴衢亨自識款印「臣、衢」。本冊頁儲於永樂款剔紅牡丹小圓盒（故漆543）中。,https://digitalarchive.npm.gov.tw/Collection/Detail/60923?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=188598&randomCode=66838986779&maxW=200&maxH=200,故書001134,故,書,法書
