name,category,size,era,desc,url,imageUrl_s,id,sk1,sk2,sk3
清 山水蒔繪小方盒 兩件,法帖,,,,https://digitalarchive.npm.gov.tw/Collection/Detail/71873?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1192268&randomCode=11448757&maxW=200&maxH=200,故帖000285,故,帖,法帖
王大令書洛神賦十三行拓本 冊,法帖,高23.0公分 厚1.9公分；一頁寬11.0公分,清,紙本冊頁，梵夾式，木質封面隸刻「宋搨王大令書洛神賦十三行」，引首有翁覃溪(方綱)題字，拓本三開，後二開有翁方綱(覃溪)等人題跋，一開空白，共計六開。王獻之(344-386)，東晉人，官至中書令，世稱「王大令」；本身精通楷、行、草、隸各體，與其父王羲之並稱為「二王」。《洛神賦》為三國魏曹植所作名篇，王獻之以小楷書《洛神賦》傳至宋代僅餘中間十三行，真跡已不復存在，故一般又通稱《洛神賦十三行》。翁方綱，號覃溪，清乾隆年間進士，官至內閣學士；讀群經，善金石，書法猶絕冠一時。,https://digitalarchive.npm.gov.tw/Collection/Detail/60754?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=600377&randomCode=1136978099&maxW=200&maxH=200,故帖000307,故,帖,法帖
御書五福德經拓本 冊,法帖,長8.3公分 寬5.1公分,清,,https://digitalarchive.npm.gov.tw/Collection/Detail/60753?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1180468&randomCode=1971660650&maxW=200&maxH=200,故帖000297,故,帖,法帖
御書五福德經拓本 冊,法帖,長6.7公分 寬4.0公分 木匣厚1.1公分,清,,https://digitalarchive.npm.gov.tw/Collection/Detail/60752?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1240480&randomCode=771256229&maxW=200&maxH=200,故帖000296,故,帖,法帖
御製盛京賦拓本 冊,法帖,長7.0公分 寬4.6公分,清,,https://digitalarchive.npm.gov.tw/Collection/Detail/60751?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1218392&randomCode=382530855&maxW=200&maxH=200,故帖000295,故,帖,法帖
御製前後哨鹿賦拓本 冊,法帖,長6.5公分 寬3.8公分,清 乾隆,,https://digitalarchive.npm.gov.tw/Collection/Detail/60750?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1192323&randomCode=2067976641&maxW=200&maxH=200,故帖000294,故,帖,法帖
御製前後哨鹿賦拓本 冊,法帖,長6.5公分 寬3.8公分,清 乾隆,,https://digitalarchive.npm.gov.tw/Collection/Detail/60749?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1192320&randomCode=1768308212&maxW=200&maxH=200,故帖000293,故,帖,法帖
御製前後哨鹿賦拓本 冊,法帖,長6.5公分 寬3.8公分,清 乾隆,,https://digitalarchive.npm.gov.tw/Collection/Detail/60748?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1192317&randomCode=698111855&maxW=200&maxH=200,故帖000292,故,帖,法帖
御製前後哨鹿賦拓本 冊,法帖,長6.5公分 寬3.8公分,清 乾隆,,https://digitalarchive.npm.gov.tw/Collection/Detail/60747?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1192287&randomCode=385992265&maxW=200&maxH=200,故帖000291,故,帖,法帖
御製前後哨鹿賦拓本 冊,法帖,長6.5公分 寬3.8公分,清 乾隆,,https://digitalarchive.npm.gov.tw/Collection/Detail/60746?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1192284&randomCode=86323836&maxW=200&maxH=200,故帖000290,故,帖,法帖
御製前後哨鹿賦拓本 冊,法帖,長6.5公分 寬3.8公分,清 乾隆,,https://digitalarchive.npm.gov.tw/Collection/Detail/60745?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1192281&randomCode=1513252312&maxW=200&maxH=200,故帖000289,故,帖,法帖
御製前後哨鹿賦拓本 冊,法帖,長6.5公分 寬3.8公分,清 乾隆,,https://digitalarchive.npm.gov.tw/Collection/Detail/60744?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1192278&randomCode=787336913&maxW=200&maxH=200,故帖000288,故,帖,法帖
御製前後哨鹿賦拓本 冊,法帖,長6.5公分 寬3.8公分,清 乾隆,,https://digitalarchive.npm.gov.tw/Collection/Detail/60743?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1192275&randomCode=1668530811&maxW=200&maxH=200,故帖000287,故,帖,法帖
御製前後哨鹿賦拓本 冊,法帖,長6.5公分 寬3.8公分,清 乾隆,,https://digitalarchive.npm.gov.tw/Collection/Detail/60742?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1192272&randomCode=566173086&maxW=200&maxH=200,故帖000286,故,帖,法帖
御製前後哨鹿賦拓本 冊,法帖,長6.5公分 寬3.8公分,清 乾隆,,https://digitalarchive.npm.gov.tw/Collection/Detail/60741?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1192251&randomCode=632226527&maxW=200&maxH=200,故帖000285,故,帖,法帖
織圖詩拓本（四）冊,法帖,長9.5公分 寬5.3公分,清,,https://digitalarchive.npm.gov.tw/Collection/Detail/60740?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=992501&randomCode=1406215865&maxW=200&maxH=200,故帖000284,故,帖,法帖
