name,category,size,era,desc,url,imageUrl_s,id,sk1,sk2,sk3
煎茶器組 蝶圖竹爐團扇,成扇,長28.0公分 寬10.6公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77037?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1279539&randomCode=1994832267&maxW=200&maxH=200,南購扇000002,南購,扇,成扇
煎茶器組 蝶圖竹爐扇,成扇,長24.8公分 寬10.6公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/77036?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1284122&randomCode=639317460&maxW=200&maxH=200,南購扇000001,南購,扇,成扇
摺扇,成扇,小扇長約7.1公分 竹盒長8.4公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/60785?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1211294&randomCode=1336701014&maxW=200&maxH=200,故扇001598,故,扇,成扇
摺扇,成扇,長約7.1公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/60784?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1211292&randomCode=1875344659&maxW=200&maxH=200,故扇001597,故,扇,成扇
摺扇,成扇,長約7.1公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/60783?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1211290&randomCode=617876548&maxW=200&maxH=200,故扇001596,故,扇,成扇
摺扇,成扇,長約7.1公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/60782?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1211288&randomCode=385992265&maxW=200&maxH=200,故扇001595,故,扇,成扇
摺扇,成扇,長約7.1公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/60781?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1211283&randomCode=1538322747&maxW=200&maxH=200,故扇001594,故,扇,成扇
摺扇,成扇,長21.0公分,清,竹製扇骨，兩側淺浮雕折枝花卉，扇軸嵌有環狀綠玉。,https://digitalarchive.npm.gov.tw/Collection/Detail/60780?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=335386&randomCode=346739964&maxW=200&maxH=200,故扇001593,故,扇,成扇
摺扇,成扇,長14.2公分,清 乾隆,,https://digitalarchive.npm.gov.tw/Collection/Detail/60779?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1081999&randomCode=95313587&maxW=200&maxH=200,故扇001592,故,扇,成扇
摺扇,成扇,長14.2公分,清 乾隆,,https://digitalarchive.npm.gov.tw/Collection/Detail/60778?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1081996&randomCode=73872675&maxW=200&maxH=200,故扇001591,故,扇,成扇
摺扇,成扇,長14.2公分,清 乾隆,,https://digitalarchive.npm.gov.tw/Collection/Detail/60777?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1081993&randomCode=2034084568&maxW=200&maxH=200,故扇001590,故,扇,成扇
摺扇,成扇,長14.2公分,清 乾隆,,https://digitalarchive.npm.gov.tw/Collection/Detail/60776?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1081990&randomCode=894373360&maxW=200&maxH=200,故扇001589,故,扇,成扇
