name,category,size,era,desc,url,imageUrl_s,id,sk1,sk2,sk3
緙絲吉慶萬福五縠豐登囍字綵帨,絲繡,長97.0公分 最寬14.5公分,清,綵帨是繫於胸前，上窄下寬而銳的綢帶，造形類似現在的領帶，只是長可過膝，上端有掛環，可固定在朝褂的鈕扣上，環上佩箴、管、縏、袠等墜角的絲縧。皇后、皇貴妃朝服的綵帨為綠色，繡五穀豐登，佩箴、管等，明黃縧。貴妃用縧為金黃色，妃繡文為靈芝瑞草，餘同貴妃。嬪不繡文。此件為緙絲五穀豐登。滿人婦女習俗佩巾，除了冠服禮制時規範佩戴的樣式之外，如此作工講究的綵帨，穿著吉服及常服時也可以佩戴，作為裝飾。,https://digitalarchive.npm.gov.tw/Collection/Detail/62055?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=505931&randomCode=1070924658&maxW=200&maxH=200,故絲000232,故,絲,絲繡
緙絲吉慶萬福五縠豐登囍字綵帨,絲繡,長98.0公分 最寬13.0公分,清,綵帨是繫於胸前，上窄下寬而銳的綢帶，造形類似現在的領帶，只是長可過膝，上端有掛環，可固定在朝褂的鈕扣上，環上佩箴、管、縏、袠等墜角的絲縧。皇后、皇貴妃朝服的綵帨為綠色，繡五穀豐登，佩箴、管等，明黃縧。貴妃用縧為金黃色，妃繡文為靈芝瑞草，餘同貴妃。嬪不繡文。此件為緙絲五穀豐登。滿人婦女習俗佩巾，除了冠服禮制時規範佩戴的樣式之外，如此作工講究的綵帨，穿著吉服及常服時也可以佩戴，作為裝飾。,https://digitalarchive.npm.gov.tw/Collection/Detail/62054?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1300320&randomCode=1013860968&maxW=200&maxH=200,故絲000231,故,絲,絲繡
緙絲人物,絲繡,畫心縱長50.5公分 橫長22.0公分,宋,,https://digitalarchive.npm.gov.tw/Collection/Detail/62053?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1166591&randomCode=1643460376&maxW=200&maxH=200,故絲000226,故,絲,絲繡
繡花卉火鐮荷包,絲繡,通長13.4公分 長5.2公分 寬3.6公分,清 乾隆,清自建國以來一直十分強調滿人的傳統，這件火鐮荷包，作三折式，中間一折附夾層，一端收尖內附銀鈎，一端附方形如意紋摺頁，面上縫花形扣，收折後可扣合，內層有二夾層袋，內置火石及艾絨。荷包內存放的火鐮為鋼製長方圓形環，環上鑲帶狀銅鎏金鏤空花卉，與常見鐮刀背形狀（或說月牙形、斧形）者不相同，火石二片，呈不規則形，邊緣銳利，質地堅硬略透明，主要成分為石英（二氧化硅），取自堅硬的山石或河石。荷包以皮為內墊，深藍絲布為面，邊緣鑲灰藍色錦布，沿布邊內側釘銀線，面上特別以鹿尾細毛為繡線，並用遼金等游牧民族常用的釘繡技法，作花卉捲枝紋飾，花卉紋樣和火鐮上樣式相呼應，內層襯著染成紅色的細麻布，無論作工、繡工均十分精細。荷包內層留下火鐮形的印記和燒漬痕，火鐮的相應位置上也沾黏著布痕，可見此火鐮和荷包是帝王平日實際使用的用品。 根據木盒題識（並見於《御製詩二集》卷4），由於高宗從《清文鑑》中得知滿人以鹿尾絨毛為線的舊俗，乾隆十二年（1747）木蘭秋獼時和孝賢純皇后富察氏（1712-1748）提及此事，皇后特別親手縫製這件道地的滿人風格樣式的火鐮荷包呈進。戊辰年（乾隆十三年，1748）高宗看著這件荷包，憶及甫過世的皇后，百感交集，遂製木盒盛裝火鐮荷包，並撰詩文以誌。高宗孝賢純皇后於雍正五年（1730）冊封為寶親王弘曆的嫡福晉，乾隆二年（1737）冊封為后，出身滿洲鑲黃旗人，身世顯赫，夫妻二人感情深厚，這件荷包除了顯示皇后的賢淑，詩文中提到「練裙繒服曾聞古，土壁葛燈莫忘前，共我同心思示儉，即兹知要允稱賢。」更可讀出清代皇室對於滿人儉樸德性傳統的重視，並且時時相互提醒，在乾隆宮廷的藝術品味中，滿人的種種特質一直是一項不可被忘卻的重點。,https://digitalarchive.npm.gov.tw/Collection/Detail/62052?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=333305&randomCode=37127544870&maxW=200&maxH=200,故絲000225,故,絲,絲繡
緙絲福壽火鏈盒,絲繡,長7.2公分 寬4.7公分,清,,https://digitalarchive.npm.gov.tw/Collection/Detail/62051?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1187398&randomCode=1891425343&maxW=200&maxH=200,故絲000224,故,絲,絲繡
民國謝書賢繡寫意花卉 單片,絲繡,32x20.6,,,https://digitalarchive.npm.gov.tw/Collection/Detail/32636?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=0&randomCode=0&maxW=200&maxH=200,購絲00000800000,購,絲,絲繡
民國謝書賢繡鴿 單片,絲繡,21.4x34.3,中華民國五十七年（1968）,,https://digitalarchive.npm.gov.tw/Collection/Detail/32635?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=0&randomCode=0&maxW=200&maxH=200,購絲00000700000,購,絲,絲繡
民國謝書賢繡張大千仕女圖 單片,絲繡,37x25.6,,,https://digitalarchive.npm.gov.tw/Collection/Detail/32634?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=0&randomCode=0&maxW=200&maxH=200,購絲00000600000,購,絲,絲繡
民國謝書賢繡鳳凰仕女 單片,絲繡,44.6x27.8,,,https://digitalarchive.npm.gov.tw/Collection/Detail/32633?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=0&randomCode=0&maxW=200&maxH=200,購絲00000500000,購,絲,絲繡
民國謝書賢繡仕女 單片,絲繡,27.7x19.9,,,https://digitalarchive.npm.gov.tw/Collection/Detail/32632?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=0&randomCode=0&maxW=200&maxH=200,購絲00000400000,購,絲,絲繡
