AcquiredDate,CreatedYear,Creator,Description,imageUrl_s,MainTitle,url,Owner,Size,Type,sk1,sk2,sk3
,,,民國41年10月31日中華婦女反共抗俄聯合會台北分會為恭祝蔣中正總統及夫人雙壽所贈。下體為「鼎」的造型，三足綴有猛獸雕飾，上半部則似「爐」，左右兩耳為樹形雕飾，特別顯著，可以拆卸，上方以鳳凰、花綴飾簍空頂蓋，在爐腹刻有「萬壽無疆」祝詞，上款為「恭祝總統華誕」，落款為「中華婦女反共抗俄聯合會台北市分會陸佩玉敬獻」。木質底座紅絨墊，外有玻璃框罩，外框玻璃上仍保有呈送時寫的字：「總統夫人恭祝雙壽誌慶」、「中華婦女反共抗俄聯合會台北市分會全體敬賀」。  「中華婦女反共抗俄聯合會」是民國39年4月蔣夫人宋美齡在台灣成立的，簡稱「婦聯會」。成立宗旨是反共抗俄，民國53年刪除抗俄字眼，改為「中華婦女反共聯合會」，民國85年改為「中華民國婦女聯合會」，隔年申請成立「財團法人中華民國婦聯社會福利基金會」，任務在推動公益及教育事項，推展婦女權益、維護身心障礙弱幼，慰勞國軍官兵及憲警人員，加強國際聯繫、促進國民外交等。,https://collections.culture.tw/ShowGALImage.aspx?FROM=OPENDATA&SYSUID=18&IMG1=0x020000005d2422386cdb5ff226114b66a202a98c8a6bb94b00d2285f96a87c66d729adfe50421067ebfe233b6aec70ce55107e879dbe23705140199d6acc4cdf10e1341e,銀鼎（鏡框）,https://collections.culture.tw/Object.aspx?SYSUID=18&RNO=Q1IwNDEwMDEwMA==,國立中正紀念堂管理處,,歷史文物\工藝文物類,歷史文物,工藝文物類,中正
,,,民國41年7月12日中華婦女反共抗俄聯合會大陳分會主任委員黃百器女士贈送給蔣夫人的禮物。 外有玻璃框架，底座襯以桃紅色絨布，以黑色簍空花紋木雕為底，上鑲銀製盾牌，盾面刻有福、祿、壽三仙，下方有金色「壽」字，兩旁繫有桃紅色及橘色緞帶裝飾。玻璃框架右上方以紅色漆撰寫「恭祝夫人華誕」，左下方落款「中華婦女反共抗俄聯合會大陳分會主任委員黃百器敬贈」。 大陳島屬浙江溫嶺縣，包含有北方的一江山島、上大陳、下大陳島等，距台灣約有250海里。中華民國遷台初期大陳尚在轄區之內，42年1月1日還發行大陳地名新臺幣。43年９月３日中共對金門發動（九三砲戰），並進逼一江山和上、下大陳島。    44年1月18日，中共進軍一江山，艾森豪總統命令第七艦隊往台灣海峽及浙東海域集結，毛澤東決定暫時觀望，下令緩攻大陳島。由於美方強烈建議台灣放棄大陳，並保証擔負安全撤退之任務。44年２月７日至11日，大陳2萬5千名國軍部隊以及1萬8千名民眾，就在美國第七艦隊護航下撤退來台，被稱為「大陳義胞」，當時蔣夫人曾特別關照給予多方照顧，政府並設置「大陳地區反共義  胞來台輔導委員會」接待，安置在屏東、宜蘭、花蓮、台 東、高雄等縣市36個聚落。 黃百器，抗日戰爭時她是女游擊隊員，曾經手持雙槍斃敵方數十人，被稱為「雙槍黃八妹」，日本人多次圍捕不成。民國40年，黃百器登上大陳島，組織婦女，並從事幼教，她曾經擔任婦聯會浙江分會主任，並且在大陳島設立婦聯會辦公室。大陳撤退後，黃百器最初並沒有跟著到台灣來，仍然率領一批游擊隊在沿海各島嶼，和中共進行游擊戰。不過最後還是到了台灣，繼續協助大陳人就學就業，民國77年過世，享年77歲，至今許多大陳人對其仍感念良深。,https://collections.culture.tw/ShowGALImage.aspx?FROM=OPENDATA&SYSUID=18&IMG1=0x020000007eb6137e010543014ac967280229b9d7466aa96fc34e6db12eac88415a80a9d7001527f0025b35a90d10f3af53dc5a50baf1ce171c2714c25470d800372d0317,銀盾,https://collections.culture.tw/Object.aspx?SYSUID=18&RNO=Q1IwNDEwMDIwMA==,國立中正紀念堂管理處,,歷史文物\工藝文物類,歷史文物,工藝文物類,中正
,,,民國60年11月5日香港酒樓業建華社回國祝壽團所贈。外有鏡框，內為紅色壓克力板，上嵌金箔壽星，金壽星身穿壽字長袍，雙手捧蟠桃，上方有代表「福」的蝙蝠飛繞，板面四角皆有金箔裝飾，右上方「恭祝蔣中正總統八秩晉五華誕」，左下方落款「香港酒樓業建華社回國祝壽團敬賀，團長黃祥、副團長候佳以及團員歐少琪、陳劍英、譚文、吳廣偉、伍炳、江運才、李瑞英、邱偉明」，底座亦為紅色壓克力板製成，4腳上有鳥形紋裝飾。  中國華僑在世界各地胼手胝足建立家業，多半靠勞力，多經營餐館、服裝業或理髮業，一向有「三把刀」－菜刀、剪刀、剃頭刀之稱。香港地近廣東，大量廣東移民前往，港人向以廣式餐飲為飲食習慣，因此酒樓林立，酒樓業盛行。,https://collections.culture.tw/ShowGALImage.aspx?FROM=OPENDATA&SYSUID=18&IMG1=0x02000000d5f5017b17e820857776ac5923388c2ec7243184df35e1daf88818c5cc239a25d0c794331d28ae6e34b663cd077a4824a660d5e97c08fbe09ec410a405118e53,金壽星（鏡框）,https://collections.culture.tw/Object.aspx?SYSUID=18&RNO=Q1IwNDEwMDQwMA==,國立中正紀念堂管理處,,歷史文物\工藝文物類,歷史文物,工藝文物類,中正
,,,民國41年10月31日香港華僑回國觀光團所贈，外罩玻璃框，銀鼎置於黑色簍空木架，三足綴有猛獸雕飾，左右兩耳為野獸咬環，爐蓋簍空花紋雕飾，頂端以金色麒麟踩球立體雕飾，鼎腹正反兩面皆有圖，正面刻有「壽比南山」字樣，上款「蔣中正總統六六華誕誌慶」，下款為「香港華僑觀光團團長沈瑞慶暨全體團員、香港華僑籃球全體隊員敬獻」，時序為「中華民國四十一年十月卅一日」，背面圖為松鶴延年。  沈瑞慶為香港中華業餘體育協會(華協， Chinese Amateur Athletic Federation，CAAF)會長、亞洲運動協會中華民國委員、香港南華足球隊顧問、香港華僑籃球隊隊長等多職，為香港僑界重量極人物，經常返國參與各項活動。,https://collections.culture.tw/ShowGALImage.aspx?FROM=OPENDATA&SYSUID=18&IMG1=0x02000000d1dccbe7dc42642de67ee2b40ad70a0b46f43e5f2da58d1ec2f55e5225c27ff8ea2672ca183f2b982d5b273e118e6d8c5e279dfe573e8892d16162bf37d443da,銀鼎（連框）,https://collections.culture.tw/Object.aspx?SYSUID=18&RNO=Q1IwNDEwMDYwMA==,國立中正紀念堂管理處,,歷史文物\工藝文物類,歷史文物,工藝文物類,中正
,,,民國41年10月31日由旅居意大利僑胞陳文清等所贈，銀質六角七層寶塔，每層屋簷角有鈴綴飾，最下一層刻有台階，下有六角木質底座，底座上有3面銀牌，分別刻有「萬壽無疆」，以及上款「蔣中正總統六秩晉六華誕」、下款「旅居意大利返國僑民陳文清、季毓卿、林岩典、陳卓興、朱麻齋、留在成、鄭松岩、周宏米、王抱昌敬祝」，框架正面上有「榮安禮品部精緻」的貼紙。  義大利位於歐洲，其國內外來移民接近200萬，占人口的4%強，其中中國僑民約10萬人，以早期移民為多。,https://collections.culture.tw/ShowGALImage.aspx?FROM=OPENDATA&SYSUID=18&IMG1=0x02000000a4071200e25e18b9053d205d0039f13aa0a831673621042f8b85e517687067c8cdc57b153c498a8fe9d7c63a81f11f18c7bff5dead67e3e3746b2fdf0cea723b,銀塔鏡框,https://collections.culture.tw/Object.aspx?SYSUID=18&RNO=Q1IwNDEwMDcwMA==,國立中正紀念堂管理處,,歷史文物\工藝文物類,歷史文物,工藝文物類,中正
,,,民國41年9月10日由菲律賓中國學生回國觀光團所贈，銀製盾牌嵌以淺褐色木質外框及底座，中央刻有圓形環狀，環內刻「菲律賓中國學生 PHIL-CHINESE STUDENTS  DELEGATION  TO  FREE  CHINA」，環中央有一三角形區域，內刻中國地圖，上刻「還我河山」四字，另在環狀圖外左右刻有上款「中華民國大總統蔣」，及下款「菲律賓中國學生回國觀光團敬献」。,https://collections.culture.tw/ShowGALImage.aspx?FROM=OPENDATA&SYSUID=18&IMG1=0x020000007ca635128d79a338e1dcf76189095cb3f1ca1c52986be886491fba1b38a6ae1fdb59c5cdcba097052ba83bd05bb8a6d194700c219a724e0298adaf874a964d23,銀盾,https://collections.culture.tw/Object.aspx?SYSUID=18&RNO=Q1IwNDEwMDgwMA==,國立中正紀念堂管理處,,歷史文物\工藝文物類,歷史文物,工藝文物類,中正
,,,民國41年10月31日由突擊南日島負傷官兵所獻，銀盾固定鑲嵌於黑色簍空雕花底座，銀盾上有一圓弧鏡面，上刻「萬壽無疆」，上款為「恭祝領袖六秩晉六華誕」，落款為「突擊南日島負傷官兵謹獻」。  南日島戰役（或稱南日島突襲），是一場中華民國陸軍對共軍的殲滅戰。韓戰爆發後，中共發動「抗美援朝」，美國開始支持中華民國，協助國軍發動沿海對大陸的突襲戰。民國41年10月11日，胡璉派遣汪光堯第75師共6千餘人乘3艘登陸艦和10條登陸艇，進攻南日島（位於今福建省蒲田市秀嶼區），10月15日突襲成功，佔領南日島，俘擄共軍800餘人，繳獲輕武器衝鋒槍、步槍1000餘枝，隨後國軍放棄南日島，帶著俘虜撤回臺灣，蔣中正總統特通電嘉獎：「出師告捷，大獲全勝。以大吃小，終有所獲。」  南日島之役為中華民國政府遷台初期重要的對中共戰役之一，因此有特殊歷史意義。,https://collections.culture.tw/ShowGALImage.aspx?FROM=OPENDATA&SYSUID=18&IMG1=0x02000000f517e8891e4250836bcb7f3d3661894d69eef0a1724961f0bd03d30447c44f8ddbc25971c5a4f2cee5632b278bad7b921737a189514e048975ddedcdc4befd01,銀盾（無框）,https://collections.culture.tw/Object.aspx?SYSUID=18&RNO=Q1IwNDEwMDkwMA==,國立中正紀念堂管理處,,歷史文物\工藝文物類,歷史文物,工藝文物類,中正
,,,民國41年10月31日陸軍官校校長羅友倫暨全體官生敬獻。,https://collections.culture.tw/ShowGALImage.aspx?FROM=OPENDATA&SYSUID=18&IMG1=0x02000000e5ed406a84ec2471b3a8400cd193cfea6d8bbcecd1ff4fa6c8c91e34847d4f99637502cf89ec750f1d7ada19497cc6f7bfe5125ff5521eb7dd9b113767cda3c6,銀中國地圖牌,https://collections.culture.tw/Object.aspx?SYSUID=18&RNO=Q1IwNDEwMTAwMA==,國立中正紀念堂管理處,,歷史文物\工藝文物類,歷史文物,工藝文物類,中正
,,,民國42年10月31日由臺灣區煤礦業同業公會所贈，外罩玻璃框，黑色木質底座，上襯紅色絨布，絨布上貼有「榮安銀樓敬製」牌示。銀盃為高腳杯形式，下有輪狀底座，雙耳把手為龍形雕飾，盃身上方為簍空花紋雕飾，下方刻有「萬壽無疆」四字，上款「恭祝蔣中正總統六秩晉七華誕」，落款為「臺灣區煤礦礦業同業分會敬獻」，以理事長顏欽賢領銜，常務理事、理事、監事名字一一列出，以昭慎重。  煤礦俗稱「黑金」，劉銘傳擔任台灣巡撫時，引進新式的採煤設備與鐵道運輸系統，成就了台灣當年大規模工業化採礦的榮景，當時，台灣主要的礦區皆集中在 基隆河的上游區域，民國38年政府遷台後，鼓勵媒礦生產，民國41年煤礦生產量突破200萬噸。  基隆顏家是台灣五大知名家族之一，發跡於台灣北部的基隆地區，是台灣早期少數以企業家身分發跡的地方望族。顏家在日治時期以開採金礦、煤礦起家，被稱為「炭王金霸」，之後更多角化開展事業，成為台灣的富商巨賈。顏欽賢接掌台陽礦業後，產金量達於巔峰。而煤礦產量亦因工業發展，大量供與內銷，並銷往國外，乃成全台煤業之首。,https://collections.culture.tw/ShowGALImage.aspx?FROM=OPENDATA&SYSUID=18&IMG1=0x02000000a0398a3d5499fe9eb2086fd76744d3a8a0573eea7bfd744920ce600b76fcfcaa96ef72aad99f5e775957d11ef1578708418fb73a9778ff8c760c480b9f931809,銀杯,https://collections.culture.tw/Object.aspx?SYSUID=18&RNO=Q1IwNDIwMDEwMA==,國立中正紀念堂管理處,,歷史文物\工藝文物類,歷史文物,工藝文物類,中正
,,,民國41年10月31日「中國佛教會」所贈。外配有玻璃鏡框，底座上襯有桃紅色絨布，底座為黑色簍空花紋木雕，上鑲有銀製盾牌，盾牌上方為龍雕飾，下方中央貼有金箔字「佛壽無量」，右邊刻有「介石總統六旬晉六大慶」，左下方落款為「中國佛教會全體會員敬祝」。  「中國佛教會」於1911年創設於中國大陸，原名為「中國佛教總會」，由寄禪長老擔任會長，民國27年改名為「中國佛教學會」，由太虛大師任理事長，28年在上海召開各省區佛教代表大會，更名為「中國佛教會」，推選圓瑛大師任理事長。民國36年4月8日在南京召開第一屆全國會員代表大會，向政府立案，正式成立「中國佛教會」，推選章嘉大師為第一屆理事長。民國38年隨中華民國政府從中國大陸遷移來臺灣，由當時的高僧白聖長老等人在臺北市十普寺設立「中國佛教會臺北辦事處」，並經奉准復會，民國41年8月25日，在臺北市善導寺召開第二屆全國會員代表大會，推選章嘉大師連任第二屆理事長。從此會務步入正軌。同年10月蔣中正總統六六壽誕，值此因緣，因此藉「無量壽佛」的傳統佛號，化為「佛壽無量」的祝語，呈獻國家元首。,https://collections.culture.tw/ShowGALImage.aspx?FROM=OPENDATA&SYSUID=18&IMG1=0x0200000069f61b5dd460a60e888d808cc6f15d12cca12b6837a90a712c79c244c3dca21d9f4ac787037f1a183e8de3bd36f7464d98f17aa373f12512a81bec891d6cfc36,銀盾（鏡框）--佛壽無量,https://collections.culture.tw/Object.aspx?SYSUID=18&RNO=Q1IwNDMwMDEwMA==,國立中正紀念堂管理處,,歷史文物\工藝文物類,歷史文物,工藝文物類,中正
