AcquiredDate,CreatedYear,Creator,Description,imageUrl_s,MainTitle,url,Owner,Size,Type,sk1,sk2,sk3
,,指揮：洪燕澤,,,臺灣省立交響樂團 特邀請韓國國立交響樂團室內管樂團來華演奏,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODAxMjAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,臺灣省交響樂團 [團長／鄧漢錦]團長：鄧漢錦 [指揮／郭美貞]指揮：郭美貞 [獨唱／范宇文]獨唱：范宇文,,,臺灣省慶祝中華民國建國七十年文藝活動─音樂演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODEwMzAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,[演出人／施金池]演出人：施金池 [策劃人／鄧漢錦]策劃人：鄧漢錦 [歌劇導演／曾道雄]歌劇導演：曾道雄 [樂團指揮／徐頌仁]樂團指揮：徐頌仁 臺灣省交響樂團 台北歌劇劇場,,,臺灣省慶祝中華民國建國七十年文藝活動─莫札特歌劇「魔笛」,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODExMDAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,演出人：黃昆輝 團長：鄧漢錦 客席指揮：楊波柏博士(Dr. Jan Popper) 獨唱：范宇文、陳榮貴,,,臺灣省慶祝中華民國建國七十年文藝活動─臺灣省交響樂團定期演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODExMjAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,演出人：李登輝,,,中華民國七十一年臺灣省基層藝術季(秋季),https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODIwMDAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,策劃：鄧漢錦 日本山梨縣南巨摩郡早川町白鳳太鼓保存會,,,日本傳統藝能特展《鼓樂與舞蹈》,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODIwNTAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,演出人：黃昆輝 團長：鄧漢錦 客席指揮：亨利‧梅哲 鋼琴家：喬治‧班哈密,,,臺灣省交響樂團─音樂演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODIwNzAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,演出人：黃昆輝 團長：鄧漢錦 客席指揮：雷奧內帝 鋼琴：楊淑靜,,,臺灣省交響樂團─音樂演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODIwODAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,演出人：李登輝 指揮：陳廷輝 大提琴獨奏：張明遠,,,中華民國七十一年臺灣省基層藝術季─巡迴演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODIxMDAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,演出人：李登輝 指揮：陳廷輝 鋼琴獨奏：陳泰成,,,中華民國七十一年臺灣省基層藝術季─貝多芬之夜,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODIxMDAwMg==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,演出人：李登輝 指揮：陳廷輝 鋼琴獨奏：陳泰成,,,中華民國七十一年臺灣省基層藝術季─巡迴演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODIxMTAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,演出人：李登輝 客席指揮：張大勝 小提琴獨奏：白莉娜 鋼琴獨奏：林安里,,,中華民國七十一年臺灣省基層藝術季─音樂演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODIxMTAwMg==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,演出人：李登輝 團長：鄧漢錦 指揮：陳廷輝,,,中華民國七十一年臺灣省基層藝術季─巡迴演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODIxMTAwMw==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,演出人：李登輝 團長：鄧漢錦 指揮：陳廷輝 大提琴：李天慧,,,中華民國七十一年臺灣省基層藝術季─音樂演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODIxMjAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,演出人：李登輝,,,中華民國七十一年臺灣省基層藝術季─台北藝苑芭蕾舞團,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODIxMjAwMg==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,演出人：李登輝 客席指揮：古斯塔夫‧柯尼希 小提琴：裘利奧‧彭詹尼,,,臺灣省基層藝術季─交響樂演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODMwMzAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,演出人：李登輝 鋼琴：道爾頓‧波德文(Dalfon Baldwin),,,台灣省基層藝術季─張縵獨唱會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODMwMzAwMg==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,客席指揮：古斯塔夫‧柯尼希,,,臺灣省交響樂團─音樂演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODMwNjAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,演出人：黃昆輝 團長：鄧漢錦 客席指揮：郁君昭 鋼琴獨奏：郁君貽,,,臺灣省交響樂團─音樂演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODMwOTAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,演出人：李登輝 團長：鄧漢錦 客席指揮：張大勝 鋼琴獨奏：克勞斯教授(Prof D.Kraus),,,臺灣省基層藝術季─交響樂演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODMxMDAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,,,,新加坡名口琴家─劉宏釗先生演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODMxMDAwMg==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
