AcquiredDate,CreatedYear,Creator,Description,imageUrl_s,MainTitle,url,Owner,Size,Type,sk1,sk2,sk3
,,,,,社教館古風貌,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDAx,國立新竹生活美學館,,藝術類\水彩畫,藝術類,水彩畫,新竹生活
,,,,,社教館,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDAy,國立新竹生活美學館,,藝術類\油畫,藝術類,油畫,新竹生活
,,,,,社教館,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDAz,國立新竹生活美學館,,藝術類\油畫,藝術類,油畫,新竹生活
,,,,,競豔,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDA0,國立新竹生活美學館,,藝術類\油畫,藝術類,油畫,新竹生活
,,,,,社教館,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDA1,國立新竹生活美學館,,藝術類\水彩畫,藝術類,水彩畫,新竹生活
,,,,,高峰,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDA2,國立新竹生活美學館,,藝術類\水彩畫,藝術類,水彩畫,新竹生活
,,,由沙漏、貓與魚構成三角形以穩定畫面，一虛一實的盆栽營造出空間感，莞爾一笑的標題豐富了畫作的趣味性。,,吃魚的時間到了嗎,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDA3,國立新竹生活美學館,,藝術類\油畫,藝術類,油畫,新竹生活
,,,藉這張客家風情傳達客籍人辛勤耐勞。希望能盡一些微薄之力，使得社會安和樂利。,,客家風情,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDA4,國立新竹生活美學館,,藝術類\水彩畫,藝術類,水彩畫,新竹生活
,,,事事（柿柿）多變，流金歲月記憶中那片淨土呢？,,往事,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDA5,國立新竹生活美學館,,藝術類\水彩畫,藝術類,水彩畫,新竹生活
,,,,,踏春,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDEw,國立新竹生活美學館,,藝術類\其他,藝術類,其他,新竹生活
,,,,,大地之聲,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDEx,國立新竹生活美學館,,藝術類\水墨畫,藝術類,水墨畫,新竹生活
,,,,,敦煌飛天,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDEy,國立新竹生活美學館,,藝術類\其他,藝術類,其他,新竹生活
,,,描繪城隍廟附近熱鬧的攤販，人來人往的樣子。,,城隍廟美食街,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDEz,國立新竹生活美學館,,藝術類\水彩畫,藝術類,水彩畫,新竹生活
,,,,,第一任館長-王儀畫像,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDE0,國立新竹生活美學館,,藝術類\油畫,藝術類,油畫,新竹生活
,,,,,第二任館長-盧永汶畫像,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDE1,國立新竹生活美學館,,藝術類\油畫,藝術類,油畫,新竹生活
,,,,,第三任館長-陳憲生畫像,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDE2,國立新竹生活美學館,,藝術類\油畫,藝術類,油畫,新竹生活
,,,,,第四任館長-諶克莊畫像,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDE3,國立新竹生活美學館,,藝術類\油畫,藝術類,油畫,新竹生活
,,,,,第五任館長-賴世烈畫像,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDE4,國立新竹生活美學館,,藝術類\油畫,藝術類,油畫,新竹生活
,,,,,第六任館長-盧貞吉畫像,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDE5,國立新竹生活美學館,,藝術類\油畫,藝術類,油畫,新竹生活
,,,,,第七任館長-蘇解得畫,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDIw,國立新竹生活美學館,,藝術類\油畫,藝術類,油畫,新竹生活
,,,,,松鹿,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDIx,國立新竹生活美學館,,藝術類\水墨畫,藝術類,水墨畫,新竹生活
,,,,,荷香,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDIy,國立新竹生活美學館,,藝術類\水墨畫,藝術類,水墨畫,新竹生活
,,孫家勤<br/>劉平衡新竹市,,,荷塘清趣,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDIz,國立新竹生活美學館,,藝術類\水墨畫,藝術類,水墨畫,新竹生活
,,,夢想藉由魔幻的時光隧道，追尋過往的足跡。,,往日,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDI0,國立新竹生活美學館,,藝術類\水墨畫,藝術類,水墨畫,新竹生活
,,,鄉情取材於童年滋養的故鄉－造橋鄉，每當回憶鄉下溫馨的情景，深刻烙印內心深處，想到這片寧靜的土地，由然升起一份對這塊大地的感恩。,,鄉情,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDI1,國立新竹生活美學館,,藝術類\水墨畫,藝術類,水墨畫,新竹生活
,,,神聖的聖山之下，儘管紋面的過程充滿各種禁忌疼痛，卻是榮譽的象徵！堅忍的泰雅族就像是蛻化後的蝴蝶，它黑亮、美麗的線條，代表泰雅祖靈的驕傲。,,美麗的印記,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDI2,國立新竹生活美學館,,藝術類\水墨畫,藝術類,水墨畫,新竹生活
