AcquiredDate,CreatedYear,Creator,Description,imageUrl_s,MainTitle,url,Owner,Size,Type,sk1,sk2,sk3
,,莊明中,,,芹壁水映,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDAwMQ==,國立彰化生活美學館,,藝術類\油畫,藝術類,油畫,彰化生活
,,王輝煌,,,生活美學館,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDAwMg==,國立彰化生活美學館,,藝術類\水彩畫,藝術類,水彩畫,彰化生活
,,文齍,,,文齍,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDAwMw==,國立彰化生活美學館,,藝術類\水彩畫,藝術類,水彩畫,彰化生活
,,游守中,,,豐盛,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDAwNA==,國立彰化生活美學館,,藝術類\油畫,藝術類,油畫,彰化生活
,,陳來興,,,生活美學館窗外意景,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDAwNQ==,國立彰化生活美學館,,藝術類\粉彩畫,藝術類,粉彩畫,彰化生活
,,林金田,,,問情,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDAwNg==,國立彰化生活美學館,,藝術類\油畫,藝術類,油畫,彰化生活
,,郭振昌,,,氣球,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDAwNw==,國立彰化生活美學館,,藝術類\複合媒材,藝術類,複合媒材,彰化生活
,,簡嘉助,,,凝視,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDAwOA==,國立彰化生活美學館,,藝術類\油畫,藝術類,油畫,彰化生活
,,池上鳳珠,,,螺旋,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDAwOQ==,國立彰化生活美學館,,藝術類\油畫,藝術類,油畫,彰化生活
,,吳炫三,,,智慧之女,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDAxMA==,國立彰化生活美學館,,藝術類\油畫,藝術類,油畫,彰化生活
