year,gross,popularity,imdb_score,vote_average,genre
2000,18316823,9.7,6.4,5.8,Western
2001,6944180,6.2,5.6,5.6,Western
2002,73215310,41.7,7.0,7.4,Western
2003,58328680,19.1,7.5,7.0,Western
2004,37366485,12.7,6.2,6.0,Western
2005,17426795,19.3,6.9,6.7,Western
2007,19515208,29.3,7.0,6.3,Western
2008,46711156,15.5,6.9,5.5,Western
2010,38022667,16.9,6.5,6.0,Western
2011,41599538,11.8,6.6,6.4,Western
2012,84349943,43.9,7.0,6.6,Western
2013,89289910,49.0,6.5,5.9,Western
2014,85749706,26.1,6.4,6.2,Western
2015,79327069,61.4,7.6,7.2,Western
2016,1512815,15.3,5.8,5.4,Western
